"GMYC_spec","sample_name"
1,"1583"
1,"ORCIE1890"
1,"FUT003-18"
1,"RUNA_3262"
1,"FUT115-18"
1,"UKFBI528-08"
1,"ORCIE1889"
1,"UKFBK089-08"
2,"AUSTR052-13"
2,"GAMBA281-12"
2,"GBMNB10991-20"
2,"AUSTR160-13"
2,"FPFLB403-12"
2,"GAMBA025-12"
2,"GBMNB10990-20"
2,"MBFA187-07"
2,"GBMNB10993-20"
2,"GAMBA026-12"
2,"GAMBA282-12"
2,"GAMBA862-12"
2,"AUSTR162-13"
2,"GBMNB10989-20"
2,"GBMNB10992-20"
2,"GAMBA280-12"
2,"MBFA186-07"
2,"AUSTR056-13"
2,"GBMNB10972-20"
2,"GBMNB10964-20"
2,"GBMNB10979-20"
2,"GBMNB10967-20"
2,"GBMNB10965-20"
2,"GBMNB10977-20"
2,"FPFLB356-12"
2,"GBMNB10976-20"
2,"GBMNB10961-20"
2,"GBMNB10980-20"
2,"GBMNB10975-20"
2,"GBMNB10981-20"
2,"GBMNB10988-20"
2,"MARQ073-12"
2,"GBMNB10969-20"
2,"GBMNB10960-20"
2,"GBMNB10963-20"
2,"GBMNB10962-20"
2,"GBMNB10966-20"
2,"GBMNB10970-20"
2,"GBMNB10987-20"
2,"MARQ074-12"
2,"GBMNB10971-20"
2,"GBMNB10986-20"
2,"GBMNB10983-20"
2,"GBMNB10973-20"
2,"GBMNB10982-20"
2,"GBMNB10985-20"
2,"MARQ071-12"
2,"GBMNB10974-20"
2,"GBMNB10968-20"
2,"GBMNB10978-20"
2,"GBMNB10984-20"
2,"AUSTR161-13"
2,"FUT004-18"
2,"SCILL194-15"
2,"SCILL252-15"
3,"ANGBF32322-19"
3,"RESIC180-11"
3,"RUNA_1208"
3,"ORCIE1125"
3,"SBF725-11"
3,"ANGBF32323-19"
3,"ANGBF32325-19"
3,"ANGBF32324-19"
3,"ANGBF32327-19"
3,"GBMIN121923-17"
3,"GBMIN97243-17"
3,"ANGBF32326-19"
3,"ORCIE1808"
3,"RUNA_0370"
3,"SBF724-11"
3,"RUNA_0272"
3,"COLOR469-15"
3,"RUNA_3154"
3,"SAIAB1074-08"
3,"RUNA_2168"
3,"RUNA_0022"
3,"RUNA_0737"
3,"RUNA_2347"
3,"RUNA_3176"
3,"RUNA_2379"
3,"GBMIN131289-17"
3,"LIFS793-08"
3,"RUNA_0854"
3,"RUNA_2719"
3,"RUNA_3155"
3,"LIFS795-08"
3,"RESIC179-11"
3,"RESIC181-11"
3,"RUNA_2348"
3,"RUNA_2450"
3,"RUNA_2346"
3,"RUNA_2717"
3,"SAIAB025-06"
3,"RUNA_3214"
3,"RUNA_2718"
3,"SAIAB024-06"
3,"LIFS794-08"
3,"RUNA_2344"
3,"RUNA_3895"
3,"RUNA_4001"
3,"SBF598-11"
3,"RUNA_4002"
3,"ORCIE1027"
3,"RUNA_2449"
3,"RUNA_3256"
3,"RUNA_2899"
3,"SBF752-11"
4,"ANGBF26357-19"
4,"SAIAB187-06"
4,"GBMIN96357-17"
4,"ANGBF32328-19"
4,"SAIAB026-06"
4,"ANGBF32329-19"
4,"ANGBF32330-19"
4,"ZOSKT1161-16"
5,"RESIC057-11"
5,"RESIC148-11"
5,"RESIC484-11"
6,"ANGBF9231-12"
6,"ANGBF9244-12"
6,"DSLAG1786-12"
6,"DSLAG1745-12"
6,"DSLAG1798-12"
6,"DSFSG709-11"
6,"DSFSG737-11"
7,"AUSTR240-13"
7,"GBMNB10939-20"
7,"GBMNB10952-20"
7,"GBMNB10956-20"
7,"GBMNB10950-20"
7,"GBMNB10959-20"
7,"GBMNB10954-20"
7,"GBMNB10940-20"
7,"MARQ140-12"
7,"GBMNB10943-20"
7,"GBMNB10949-20"
7,"GBMNB10957-20"
7,"GBMNB10958-20"
7,"GBMNB10938-20"
7,"GBMNB10948-20"
7,"GBMNB10941-20"
7,"GBMNB10945-20"
7,"GBMNB10947-20"
7,"GBMNB10951-20"
7,"GBMNB10934-20"
7,"GBMNB10946-20"
7,"GBMNB10953-20"
7,"GBMNB10935-20"
7,"GBMNB10937-20"
7,"GBMNB10944-20"
7,"GBMNB10936-20"
7,"GBMNB10955-20"
7,"GBMNB10942-20"
7,"MARQ139-12"
7,"GAMBA023-12"
7,"GAMBA024-12"
8,"GBMNB10994-20"
8,"GBMNB11003-20"
8,"GBMNB11025-20"
8,"GBMNB11045-20"
8,"GBMNB11057-20"
8,"GBMNB11017-20"
8,"GBMNB11021-20"
8,"GBMNB11053-20"
8,"GBMNB11020-20"
8,"GBMNB11044-20"
8,"GBMNB11056-20"
8,"GBMNB11033-20"
8,"GBMNB10998-20"
8,"GBMNB11015-20"
8,"GBMNB11066-20"
8,"GBMNB11019-20"
8,"GBMNB11022-20"
8,"GBMNB11041-20"
8,"GBMNB11005-20"
8,"GBMNB11008-20"
8,"GBMNB11032-20"
8,"GBMNB11010-20"
8,"GBMNB11058-20"
8,"GBMNB11018-20"
8,"GBMNB10995-20"
8,"GBMNB11043-20"
8,"GBMNB11002-20"
8,"GBMNB11000-20"
8,"GBMNB10996-20"
8,"GBMNB11030-20"
8,"GBMNB11054-20"
8,"GBMNB11006-20"
8,"GBMNB11042-20"
8,"GBMNB11063-20"
8,"GBMNB11013-20"
8,"GBMNB11061-20"
8,"GBMNB11055-20"
8,"GBMNB11064-20"
8,"GBMNB11039-20"
8,"GBMNB11052-20"
8,"GBMNB11040-20"
8,"GBMNB11047-20"
8,"GBMNB11029-20"
8,"GBMNB11049-20"
8,"GBMNB11051-20"
8,"GBMNB10997-20"
8,"GBMNB11062-20"
8,"GBMNB11012-20"
8,"GBMNB11059-20"
8,"GBMNB11069-20"
8,"GBMNB11023-20"
8,"GBMNB11024-20"
8,"GBMNB11065-20"
8,"GBMNB11004-20"
8,"GBMNB11034-20"
8,"GBMNB11007-20"
8,"GBMNB11037-20"
8,"GBMNB11038-20"
8,"GBMNB11046-20"
8,"GBMNB11014-20"
8,"GBMNB11016-20"
8,"GBMNB11027-20"
8,"GBMNB11050-20"
8,"GBMNB11048-20"
8,"GBMNB11036-20"
8,"GBMNB10999-20"
8,"GBMNB11009-20"
8,"GBMNB11067-20"
8,"GBMNB11035-20"
8,"GBMNB11001-20"
8,"GBMNB11031-20"
8,"GBMNB11011-20"
8,"GBMNB11028-20"
8,"GBMNB11026-20"
8,"GBMNB11068-20"
8,"GBMNB11060-20"
9,"AUSTR154-13"
9,"MBFA979-07"
9,"MBFA978-07"
9,"AUSTR155-13"
9,"AUSTR395-13"
9,"FUT160-18"
10,"COLOR408-15"
10,"SBF750-11"
10,"SBF751-11"
10,"COLOR413-15"
10,"ORCIE1990"
10,"SBF493-11"
10,"SBF680-11"
10,"SBF707-11"
10,"SBF681-11"
10,"SBF706-11"
11,"ANGBF32331-19"
11,"UKFBJ563-08"
11,"FUT163-18"
12,"ANGBF32332-19"
12,"AUSTR163-13"
12,"UKFBI168-08"
12,"SCILL193-15"
12,"AUSTR533-13"
12,"FUT165-18"
12,"AUSTR535-13"
12,"FPFLB318-12"
12,"GAMBA246-12"
12,"FPFLB304-12"
12,"AUSTR400-13"
12,"GAMBA247-12"
12,"MBFA178-07"
12,"GAMBA236-12"
12,"AUSTR401-13"
12,"FPFLB321-12"
12,"AUSTR166-13"
12,"FPFLB371-12"
12,"FPFLB369-12"
12,"AUSTR534-13"
12,"MBFA179-07"
12,"FPFLB317-12"
13,"AUSTR545-13"
13,"AUSTR546-13"
14,"AUSTR398-13"
14,"AUSTR548-13"
14,"AUSTR547-13"
14,"GAMBA640-12"
14,"GAMBA637-12"
15,"MH932003_1"
15,"MH932007_1"
15,"MH932005_1"
15,"MH932004_1"
15,"MH932006_1"
16,"MH932008_1"
16,"MH932009_1"
17,"AUSTR544-13"
18,"KT284893_1"
19,"KU136"
20,"NC_004411_1"
21,"NC_004412_1"
22,"NC_028295_1"
