ID,Phylum,Class,Order,Family,Genus,Species,BIN,Sp_Taxcorrige
ANGBF26357-19,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes,BOLD:AAJ1078,filamentosus
ANGBF32327-19,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes castaneus,BOLD:AAE2835,castaneus
ANGBF9231-12,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes sp. JTW-2010,BOLD:AAU6316,auritus
ANGBF9244-12,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes sp. JTW-2010,BOLD:AAU6316,auritus
AUSTR052-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes variolosus,BOLD:AAJ1084,variolosus
AUSTR056-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes variolosus,BOLD:AAJ1084,variolosus
AUSTR154-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes fuscoguttatus,BOLD:AAJ1079,fuscoguttatus
AUSTR155-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes fuscoguttatus,BOLD:AAJ1079,fuscoguttatus
AUSTR160-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes variolosus,BOLD:AAJ1084,variolosus
AUSTR161-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes variolosus,BOLD:AAJ1084,variolosus
AUSTR162-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes variolosus,BOLD:AAJ1084,variolosus
AUSTR163-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes quagga,BOLD:AAF2879,quagga
AUSTR166-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes quagga,BOLD:AAF2879,quagga
AUSTR240-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes,BOLD:ACC5103,matatakaro
AUSTR395-13,Chordata,Actinopterygii, Perciformes,Blenniidae,Cirripectes,Cirripectes fuscoguttatus,BOLD:AAJ1079,fuscoguttatus
