Sample;ID;Sp_corrige;Localities
Sample1;ORCIE1990_Rho;cf. randali;Rodrigues
Sample2;RUNA_0737_Rho;castaneus;Reunion
Sample3;RUNA_2450_Rho_V1;castaneus;Reunion
Sample4;RUNA_2450_Rho_V2;castaneus;Reunion
Sample5;RUNA_2449_Rho;castaneus;Reunion
Sample6;RUNA_2379_Rho_V1;castaneus;Reunion
Sample7;RUNA_2379_Rho_V2;castaneus;Reunion
Sample8;RUNA_2347_Rho_V1;castaneus;Reunion
Sample9;RUNA_2347_Rho_V2;castaneus;Reunion
Sample10;RUNA_2344_Rho_V1;castaneus;Reunion
Sample11;RUNA_2344_Rho_V2;castaneus;Reunion
Sample12;RUNA_3256_Rho;castaneus;Reunion
Sample13;RUNA_3214_Rho;castaneus;Reunion
Sample14;RUNA_3176_Rho;castaneus;Reunion
Sample15;RUNA_3155_Rho_V1;castaneus;Reunion
Sample16;RUNA_3155_Rho_V2;castaneus;Reunion
Sample17;RUNA_3154_Rho_V1;castaneus;Reunion
Sample18;RUNA_3154_Rho_V2;castaneus;Reunion
Sample19;ORCIE1890_Rho;stigmaticus;Rodrigues
Sample20;RUNA_2168_Rho;castaneus;Reunion
Sample21;RUNA_4002_Rho;castaneus;Reunion
Sample22;RUNA_4001_Rho_V1;castaneus;Reunion
Sample23;RUNA_4001_Rho_V2;castaneus;Reunion
Sample24;RUNA_3895_Rho_V1;castaneus;Reunion
Sample25;RUNA_3895_Rho_V2;castaneus;Reunion
Sample26;1583_Rho_V1;stigmaticus;Rodrigues
Sample27;1583_Rho_V2;stigmaticus;Rodrigues
Sample28;RUNA_2718_Rho;castaneus;Reunion
Sample29;RUNA_2717_Rho;castaneus;Reunion
Sample30;ORCIE1808_Rho_V1;castaneus;Rodrigues
Sample31;ORCIE1808_Rho_V2;castaneus;Rodrigues
Sample32;ORCIE1889_Rho_V1;stigmaticus;Rodrigues
Sample33;ORCIE1889_Rho_V2;stigmaticus;Rodrigues
Sample34;RUNA_2348_Rho;castaneus;Reunion
Sample35;RUNA_2346_Rho_V1;castaneus;Reunion
Sample36;RUNA_2346_Rho_V2;castaneus;Reunion
Sample37;RUNA_0854_Rho_V1;castaneus;Reunion
Sample38;RUNA_0854_Rho_V2;castaneus;Reunion
Sample39;HQ168903_1_Rho_V1;castaneus;Seychelles
Sample40;HQ168903_1_Rho_V2;castaneus;Seychelles
Sample41;HQ168904_1_Rho_V1;filamentosus;Seychelles
Sample42;HQ168904_1_Rho_V2;filamentosus;Seychelles
Sample43;HQ168905_1_Rho_V1;quagga;Tonga
Sample44;HQ168905_1_Rho_V2;quagga;Tonga
Sample45;RUNA_1208_Rho_V1;castaneus;Reunion
Sample46;RUNA_1208_Rho_V2;castaneus;Reunion
Sample47;RESIC057_11_Rho;chelomatus;New Caledonia
Sample48;RESIC148_11_Rho;chelomatus;New Caledonia
Sample49;RESIC181_11_Rho;castaneus;New Caledonia
Sample50;RESIC180_11_Rho;castaneus;New Caledonia
Sample51;RESIC484_11_Rho;chelomatus;New Caledonia
Sample52;RESIC179_11_Rho_V1;castaneus;New Caledonia
Sample53;RESIC179_11_Rho_V2;castaneus;New Caledonia
Sample54;HQ168927_1_Omobranchus_obliquus;Omobranchus;Omobranchus
Sample55;HQ168928_Ophioblennius_macclurei;Ophioblennius;Ophioblennius
Sample56;HQ168942_1_Salarias_fasciatus;Salarias;Salarias
Sample57;KF265117_1_Petroscirtes_breviceps;Petroscirtes;Petroscirtes
